127.0.0.1 - - [21/May/2016:19:58:31 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/May/2016:19:58:45 +0530] "GET /OnlineBankingSystems/images/image_04.gif HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [21/May/2016:19:58:50 +0530] "GET /OnlineBankingSystems/adminlogin.html HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [21/May/2016:19:58:50 +0530] "GET /OnlineBankingSystems/images/home1.gif HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [21/May/2016:19:59:03 +0530] "POST /OnlineBankingSystems/login HTTP/1.1" 500 3076
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:40 +0530] "GET /OnlineBankingSystems/homepage.html HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:42 +0530] "GET /OnlineBankingSystems/style.css HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:42 +0530] "GET /OnlineBankingSystems/images/bank1.jpg HTTP/1.1" 200 604149
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:44 +0530] "GET /OnlineBankingSystems/images/globe_03.gif HTTP/1.1" 200 43705
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:44 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:44 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:49 +0530] "GET /OnlineBankingSystems/index.html HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:49 +0530] "GET /OnlineBankingSystems/images/globe_12.gif HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:49 +0530] "GET /OnlineBankingSystems/images/bank2.jpg HTTP/1.1" 200 66631
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:50 +0530] "GET /OnlineBankingSystems/images/globe_16.gif HTTP/1.1" 200 5523
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:50 +0530] "GET /OnlineBankingSystems/images/globe_05.jpg HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:50 +0530] "GET /OnlineBankingSystems/images/globe_06.jpg HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:50 +0530] "GET /OnlineBankingSystems/images/image_03.gif HTTP/1.1" 200 3869
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:50 +0530] "GET /OnlineBankingSystems/images/image_04.gif HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:50 +0530] "GET /OnlineBankingSystems/images/bullet.png HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:50 +0530] "GET /OnlineBankingSystems/images/image_05.gif HTTP/1.1" 200 4337
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:52 +0530] "GET /OnlineBankingSystems/adminlogin.html HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [21/May/2016:20:00:52 +0530] "GET /OnlineBankingSystems/images/home1.gif HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [21/May/2016:20:01:04 +0530] "POST /OnlineBankingSystems/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2016:20:01:04 +0530] "GET /OnlineBankingSystems/admlog1.jsp HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [21/May/2016:20:01:07 +0530] "GET /OnlineBankingSystems/admlog.html HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [21/May/2016:20:01:13 +0530] "GET /OnlineBankingSystems/view1.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [21/May/2016:20:01:24 +0530] "POST /OnlineBankingSystems/myupdate.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [21/May/2016:20:02:32 +0530] "GET /OnlineLearning1/homepage.html HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [21/May/2016:20:02:32 +0530] "GET /OnlineLearning1/images/e-learning%206.jpg HTTP/1.1" 200 49126
0:0:0:0:0:0:0:1 - - [21/May/2016:20:02:32 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/May/2016:20:02:32 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/May/2016:20:02:40 +0530] "GET /OnlineLearning1/login.html HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [21/May/2016:20:06:11 +0530] "POST /OnlineLearning1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2016:20:06:13 +0530] "GET /OnlineLearning1/memlog1.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [21/May/2016:20:06:15 +0530] "GET /OnlineLearning1/memlog.html HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [21/May/2016:20:06:19 +0530] "GET /OnlineLearning1/view2.jsp HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [21/May/2016:20:06:23 +0530] "POST /OnlineLearning1/myupdate1.jsp HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [21/May/2016:20:06:31 +0530] "POST /OnlineLearning1/myupdate1.jsp HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [21/May/2016:20:06:40 +0530] "POST /OnlineLearning1/myupdate1.jsp HTTP/1.1" 200 907
